POLY_NO,CUST_ID,CUST_ROLE,GOOD_CLSF_CDNM,CNTT_YM,CLLT_FP_PRNO,REAL_PAYM_TERM,SALE_CHNL_CODE,CNTT_STAT_CODE,EXPR_YM,PAYM_CYCL_CODE,MAIN_INSR_AMT,SUM_ORIG_PREM,MNTH_INCM_AMT
87,19115,1,일반종신,200307,22168,20,1,B,999912,1,50000000,94300,200000
88,7657,1,일반종신,200306,25981,15,1,J,999912,1,50000000,118350,0
89,5353,0,어린이,200306,27150,5,1,2,202706,1,60000000,64200,200000
90,20301,1,일반종신,200306,5758,20,1,B,999912,1,70000000,121100,150000
91,20301,0,어린이,200306,5758,7,1,B,201806,1,30000000,41800,150000
92,20301,0,어린이,200306,5758,5,1,B,202106,1,30000000,44800,150000
93,9329,5,변액종신,200306,29145,15,1,1,999912,1,50000000,120700,0
94,21760,1,변액종신,200306,21688,20,1,B,999912,1,100000000,112900,100000
95,19559,2,일반종신,200306,27496,20,1,J,999912,1,80000000,104600,200000
96,13953,0,일반종신,200306,21731,10,1,2,999912,1,50000000,87900,150000
97,10520,1,일반종신,200306,28907,20,1,1,999912,1,46000000,70690,120000
98,11701,1,일반종신,200306,3267,20,1,J,999912,1,50000000,167600,0
99,16129,1,일반연금,200306,3905,10,1,B,999912,1,36000000,377253,100000
100,3459,5,일반종신,200306,5087,20,1,I,999912,1,100000000,225700,300000
101,9090,1,암,200306,3610,20,4,3,205106,1,8000000,8000,0
102,9090,0,암,200306,3610,20,4,1,204206,1,8000000,17840,0
103,17278,2,일반종신,200306,22508,20,1,1,999912,1,100000000,176000,300000
104,87,0,어린이,200306,30913,5,1,B,202006,1,30000000,44100,250000
105,5389,2,변액종신,200306,23525,15,1,J,999912,1,50000000,152100,200000
106,11784,0,보장,200306,5562,15,1,B,205906,1,30000000,60100,300000
107,18834,0,변액종신,200306,4779,20,1,B,999912,1,50000000,135650,250000
108,18834,1,변액종신,200306,4779,20,1,1,999912,1,50000000,85550,50000
109,1598,1,보장,200306,25302,20,1,1,205806,1,30000000,39300,0
110,8353,0,변액종신,200306,3265,20,1,B,999912,1,70000000,122280,270000
111,127,0,일반종신,200306,5997,20,1,B,999912,0,32645797,10222994,200000
112,127,0,보장,200306,5997,20,1,2,204006,0,20766403,6025372,200000
113,16248,0,어린이,200306,23744,7,1,2,202206,1,60000000,54600,300000
114,15771,1,변액종신,200306,6086,35,1,1,999912,1,100000000,117500,200000
115,3879,2,일반종신,200306,4622,20,1,B,999912,1,100000000,98200,300000
116,2995,1,일반종신,200306,22295,20,1,1,999912,1,50000000,82450,90000
117,3586,1,일반종신,200306,23686,20,1,B,999912,1,100000000,127600,270000
118,18840,1,일반종신,200306,5973,20,1,1,999912,1,50000000,88750,400000
119,9646,2,일반종신,200306,5994,20,1,1,999912,1,70000000,198740,300000
120,111,1,일반연금,200306,6194,10,1,2,203606,1,36000000,344000,500000
121,7640,0,어린이,200306,5340,10,1,B,202006,1,30000000,29600,150000
122,3900,2,어린이,200306,23754,10,1,2,202106,1,36600000,30132,0
123,20198,1,변액연금,200306,1077,5,1,B,999912,1,12000000,200200,300000
124,21426,2,일반종신,200306,6203,20,1,1,999912,1,70000000,129660,200000
125,18277,0,일반연금,200306,22428,5,1,B,999912,1,15000000,250250,250000
126,21137,0,일반종신,200306,6200,15,1,I,999912,1,100000000,175500,200000
127,21137,1,보장,200306,6200,15,1,1,205206,1,30000000,52600,200000
128,21137,0,보장,200306,6200,15,1,J,205206,1,30000000,67000,0
129,17280,1,암,200306,6125,26,4,B,202906,1,8000000,25760,0
130,19562,2,어린이,200306,5571,5,1,2,202606,1,30000000,38400,200000
131,15650,1,일반종신,200306,5150,15,1,1,999912,1,50000000,128850,400000
132,18231,0,보장,200306,3820,20,1,3,202806,1,18000000,105640,0
133,12742,2,일반종신,200306,950,20,1,1,999912,1,50000000,87400,300000
134,20716,2,일반연금,200306,1658,5,1,B,203006,1,15000000,250250,400000
135,10521,1,일반종신,200306,21180,20,1,1,999912,1,50000000,74450,150000
136,6815,4,보장,200306,29084,15,1,B,205206,1,20000000,42550,150000
137,9950,1,일반종신,200306,22728,15,1,E,999912,1,50000000,91700,150000
138,9114,1,암,200306,6126,10,4,2,204706,1,8000000,19600,0
139,15943,1,일반연금,200306,26899,5,1,B,999912,1,6000000,100100,0
140,9272,0,일반종신,200306,24818,15,2,1,999912,1,50000000,104700,300000
141,237,0,일반종신,200306,2629,15,1,1,999912,1,100000000,156240,500000
142,6159,2,어린이,200306,28626,7,1,2,202706,1,30000000,24400,200000
143,12309,0,보장,200306,4062,10,4,L,203306,1,8000000,37520,0
144,8174,2,어린이,200306,30228,5,1,J,202106,1,30000000,44800,200000
145,19539,2,일반종신,200306,6093,20,1,1,999912,1,50000000,96700,400000
146,12309,0,암,200306,4062,10,4,L,203306,1,8000000,21040,0
147,12779,2,일반종신,200307,6182,20,1,B,999912,1,70000000,106490,300000
148,15646,1,보장,200306,5288,15,1,J,204106,1,30000000,78800,0
149,15913,2,암,200306,2226,20,4,J,203006,1,8000000,38320,0
150,15646,0,어린이,200306,5288,10,1,B,201706,1,30000000,38500,0
151,18185,0,일반연금,200306,24711,5,1,B,999912,1,12000000,200200,150000
152,7971,0,어린이,200306,5241,5,1,B,202706,1,45000000,48150,300000
153,7334,1,일반연금,200306,5038,5,1,B,999912,1,30600000,510510,250000
154,1195,1,일반종신,200306,3777,15,1,1,999912,1,100000000,249600,300000
155,8354,2,어린이,200306,31326,10,1,9,201606,0,30000000,2916900,300000
156,21010,1,변액종신,200306,6217,30,1,1,999912,1,100000000,159500,300000
157,5389,2,변액종신,200306,23525,15,1,B,999912,1,50000000,152100,200000
158,5713,1,암,200306,182,10,4,L,206006,1,8000000,9960,0
159,3105,2,일반종신,200306,642,20,1,J,999912,1,100000000,277200,300000
160,11295,0,일반종신,200307,24345,20,1,1,999912,1,100000000,168500,500000
161,11701,1,일반종신,200306,3267,20,1,C,999912,1,40000000,101900,200000
162,3902,1,어린이,200306,23118,10,1,2,202706,1,30000000,35000,150000
163,20776,1,일반연금,200306,27801,5,1,B,202606,1,6000000,100100,0
164,13381,0,보장,200306,5476,15,1,B,205106,1,20000000,47900,200000
165,11977,1,일반종신,200307,5946,15,1,B,999912,1,70000000,148350,200000
166,8301,1,일반종신,200306,4727,20,1,1,999912,1,60000000,82000,0
167,2322,0,일반종신,200306,3755,20,1,B,999912,1,54000000,94500,200000
168,11909,0,어린이,200306,5722,7,1,B,201606,0,20568804,1819152,300000
169,20541,1,일반종신,200306,2954,15,1,B,999912,1,50000000,130600,200000
170,18458,0,일반종신,200306,21907,15,1,B,999912,1,40000000,194010,300000
171,749,1,일반종신,200306,3320,20,1,B,999912,1,50000000,118930,150000
172,5294,2,일반종신,200306,4566,20,1,2,999912,0,36825712,10048945,200000
173,735,2,변액종신,200306,26451,20,1,1,999912,1,50000000,165900,350000
174,7595,1,보장,200306,24807,20,2,1,204806,1,30000000,37900,300000
175,18034,0,보장,200306,4253,20,1,B,203206,1,15000000,68850,250000
176,3497,2,암,200307,2226,15,4,L,206207,1,16000000,12320,0
177,3497,2,보장,200307,2226,15,4,L,206207,1,8000000,11960,0
178,3878,2,일반종신,200307,4634,20,1,1,999912,1,70000000,71190,300000
179,9338,1,일반종신,200306,21687,20,1,1,999912,1,50000000,114100,500000
180,7083,0,일반종신,200306,22071,10,1,J,999912,1,100000000,165800,150000
181,3744,21,일반종신,200306,30802,20,1,2,999912,0,40000000,15517480,180000
182,7500,1,일반종신,200306,2316,15,1,B,999912,1,50000000,83500,0
183,3238,0,암,200307,4046,10,4,J,205507,1,8000000,13220,0
184,3238,0,어린이,200307,4046,10,4,J,202407,1,20000000,17300,0
185,20715,2,보장,200307,5643,15,4,J,204007,1,8000000,25200,0
186,20715,2,암,200307,5643,15,4,J,204007,1,8000000,22640,0
187,21409,2,일반종신,200306,4611,10,1,J,999912,1,100000000,122900,100000
188,914,2,일반연금,200306,2884,7,1,L,999912,1,21000000,250500,200000
189,12753,2,일반종신,200306,23289,5,1,B,999912,1,100000000,271000,500000
190,20156,1,일반종신,200306,4194,20,1,B,999912,1,60000000,116480,300000
191,4547,0,보장,200306,21614,10,1,B,206506,1,12499000,17909,300000
192,5024,0,일반종신,200307,23630,47,1,B,999912,1,100000000,126900,0
193,2267,1,일반종신,200306,5832,20,1,B,999912,1,100000000,220100,300000
194,7636,0,어린이,200306,4921,7,1,B,201806,1,30000000,34900,200000
195,4635,1,일반종신,200306,2013,10,1,B,999912,1,66000000,130420,80000
196,10523,2,어린이,200307,21724,5,1,2,202507,1,30000000,38400,200000
197,12679,1,일반연금,200306,6218,5,2,I,999912,1,9600000,160160,300000
198,19565,1,일반연금,200306,31028,5,1,B,204806,1,6000000,100100,150000
199,14575,1,일반연금,200306,243,5,1,2,204406,1,6000000,100000,200000
200,12674,0,어린이,200307,20570,5,1,2,202607,1,39000000,46140,100000
201,8,1,일반종신,200306,29669,15,1,B,999912,1,50000000,201300,400000
202,5198,0,변액종신,200306,20649,15,1,B,999912,1,70000000,116160,200000
203,5360,2,변액종신,200306,4463,5,1,B,999912,1,18000000,70380,300000
204,16738,1,일반종신,200306,6190,15,1,B,999912,1,50000000,129650,150000
205,13400,0,어린이,200307,21046,10,1,B,202107,1,60000000,52200,0
206,18074,1,일반종신,200306,6178,10,1,B,999912,1,95000000,260000,300000
207,26,0,일반종신,200306,3859,10,1,2,999912,1,100000000,165400,300000
208,18074,1,일반연금,200306,6178,5,1,B,201806,1,12000000,200200,300000
209,6775,0,어린이,200306,28109,10,1,B,201806,1,30000000,32700,500000
210,12309,0,암,200307,4062,20,4,L,203307,1,8000000,15520,0
211,12309,0,보장,200307,4062,20,4,L,203307,1,8000000,26680,0
212,11522,1,일반저축,200306,22028,7,1,B,201006,1,12180000,145000,200000
213,15767,1,일반연금,200306,6079,5,1,B,999912,1,6000000,100100,150000
214,21359,2,일반저축,200306,6083,3,1,B,201006,1,3600000,100000,200000
215,11318,0,일반종신,200306,3994,15,2,B,999912,1,70000000,115300,200000
216,382,1,보장,200306,22150,20,1,B,203406,1,30000000,89600,200000
217,20616,0,일반종신,200306,28229,15,1,2,999912,0,50000000,8225000,150000
218,3901,1,보장,200306,2358,20,1,B,204206,1,30000000,83900,300000
219,18027,0,일반저축,200306,3362,5,1,B,201006,1,7200000,120000,0
220,4625,1,변액연금,200306,324,7,1,B,999912,1,21000000,250500,0
221,8175,2,어린이,200306,29919,10,1,B,201906,1,30000000,24600,300000
222,11188,2,어린이,200306,5280,5,1,B,201506,1,20000000,51200,300000
223,11473,0,일반연금,200306,28339,5,1,B,999912,1,6000000,100100,500000
224,12494,2,어린이,200306,25465,5,1,B,201306,1,15000000,36600,150000
225,774,1,일반연금,200306,22245,5,1,B,999912,1,21600000,360360,200000
226,6879,1,일반저축,200306,4447,7,1,B,201006,1,1680000,30000,300000
227,11389,2,일반종신,200307,6100,15,1,C,999912,1,20000000,92200,200000
228,2507,0,일반연금,200307,20995,5,1,B,999912,1,9000000,150150,150000
229,7148,0,변액종신,200307,3216,20,1,B,999912,1,30000000,138230,0
230,16046,0,일반종신,200307,6070,20,1,1,999912,1,100000000,76300,300000
231,3899,1,일반종신,200307,6201,10,1,2,999912,0,30000000,5843040,150000
232,13949,1,일반연금,200307,27861,10,1,L,999912,1,30000000,302203,500000
233,5361,1,보장,200307,6140,15,2,1,204807,1,30000000,55500,200000
234,11341,2,변액종신,200307,25627,20,1,1,999912,1,70000000,154500,130000
235,19493,0,변액종신,200307,24666,20,1,J,999912,1,50000000,117300,300000
236,2362,1,보장,200307,3049,20,1,1,204407,1,30000000,49700,200000
237,13953,1,일반종신,200307,21731,15,1,B,999912,1,50000000,143200,150000
238,9317,1,보장,200307,2197,15,2,B,203507,1,30000000,128200,280000
239,19424,2,보장,200307,4914,15,1,B,202507,1,30000000,56000,200000
240,19559,2,일반종신,200307,27496,10,1,B,999912,1,50000000,104000,200000
241,9049,0,변액종신,200307,24224,15,1,B,999912,1,100000000,156900,300000
242,4547,1,보장,200307,21614,15,1,1,203207,1,30000000,32100,400000
243,10321,2,어린이,200307,6205,5,1,2,202107,1,30000000,44800,350000
244,914,2,보장,200307,2884,15,1,1,204907,1,24000000,65700,200000
245,20541,0,일반종신,200307,2954,15,1,B,999912,1,70000000,101400,100000
246,20541,0,일반종신,200307,2954,15,1,B,999912,1,70000000,98500,0
247,20992,0,일반종신,200307,27651,20,1,B,999912,0,6332228,1399739,200000
248,13949,1,일반연금,200307,27861,10,1,2,999912,1,12000000,151600,500000
249,13513,2,변액종신,200307,4718,31,1,1,999912,1,50000000,100350,0
250,11906,2,일반종신,200307,6207,20,1,1,999912,1,80000000,235880,400000
251,10489,2,일반종신,200307,5820,20,1,1,999912,1,50000000,84700,100000
252,17144,1,일반종신,200307,20622,20,1,1,999912,1,100000000,219900,200000
253,5483,1,일반종신,200307,1767,20,1,B,999912,1,60000000,176650,250000
254,3861,2,일반종신,200307,21070,20,1,L,999912,1,100000000,124700,120000
255,19563,0,보장,200307,31299,15,1,1,202407,1,15000000,138450,100000
256,7158,0,일반종신,200307,23966,15,1,B,999912,1,100000000,146300,100000
257,3903,2,보장,200307,20797,20,1,J,206407,1,30000000,32800,300000
258,7657,1,일반종신,200307,25981,15,1,B,999912,1,50000000,118350,200000
259,19134,1,어린이,200307,24886,5,1,B,202707,12,20000000,444300,80000
260,11971,1,보장,200307,26409,10,1,B,202307,1,25000000,27600,150000
261,18107,1,일반종신,200307,6066,20,1,4,999912,1,70000000,135020,150000
262,18099,1,암,200307,3625,10,4,J,205107,1,16000000,26640,0
263,16354,2,변액종신,200307,23686,20,1,B,999912,1,80000000,229630,0
264,13425,1,변액종신,200307,30068,5,1,B,999912,1,25000000,151870,250000
265,13425,0,어린이,200307,30068,5,1,B,201507,1,7800000,15522,250000
266,6787,0,변액종신,200307,23320,15,1,B,999912,1,60000000,103070,500000
267,20192,0,일반종신,200307,21277,15,1,2,999912,0,51222261,5360046,200000
268,17281,1,보장,200307,3893,10,1,J,206407,1,30000000,49600,100000
269,15646,1,보장,200307,5288,15,1,J,204107,1,30000000,78800,200000
270,1158,2,일반연금,200307,4333,5,1,B,999912,1,18000000,300000,250000
271,7158,1,일반연금,200307,23966,10,1,B,202507,1,24000000,222544,130000
272,9023,0,일반종신,200307,23544,20,1,B,999912,1,50000000,82500,300000
273,14939,0,어린이,200307,6216,5,1,B,201207,1,30000000,123700,500000
274,5713,1,암,200307,182,10,4,L,206007,1,8000000,9960,0
275,3861,2,일반종신,200307,21070,20,1,B,999912,1,100000000,124700,120000
276,14597,2,보장,200307,21787,10,1,B,205507,1,42000000,66640,200000
277,21342,1,일반종신,200307,23537,15,1,1,999912,1,100000000,136800,120000
278,5276,0,어린이,200307,6165,10,1,J,201607,1,30000000,43700,300000
279,18002,1,일반연금,200307,26451,20,1,B,999912,1,60000000,501500,350000
280,21804,2,어린이,200307,3577,7,1,B,202407,1,30000000,25600,250000
281,14496,1,암,200307,4043,10,4,L,205607,1,16000000,20000,0
282,17005,5,보장,200307,4508,15,1,B,203207,1,30000000,34500,100000
283,17005,2,어린이,200307,4508,10,1,B,201607,1,30000000,38100,100000
284,13471,0,일반종신,200307,5881,15,1,B,999912,1,40000000,70280,300000
285,20971,0,어린이,200307,30054,5,1,B,201507,1,30000000,69200,200000
286,4969,0,일반종신,200307,5111,20,1,B,999912,1,100000000,102000,200000
287,9280,0,보장,200307,4340,20,1,1,206007,1,30000000,37000,300000
288,5867,2,어린이,200307,6023,10,1,B,201507,1,30000000,51800,200000
289,12369,1,일반저축,200307,25487,3,1,B,200607,1,36000000,1000000,100000
290,11739,1,보장,200307,30784,15,1,B,202507,1,30000000,56000,200000
291,5689,2,변액종신,200307,24318,20,1,J,999912,1,100000000,123700,300000
292,19360,2,어린이,200307,22254,10,1,B,201807,1,30000000,32300,150000
293,18364,1,일반저축,200307,5100,5,1,L,201007,1,21000000,350000,150000
294,19563,1,보장,200307,31299,10,1,2,203007,1,15000000,75050,100000
295,12782,1,보장,200307,2428,10,1,B,203507,1,15000000,46200,500000
296,2956,0,보장,200307,29403,15,1,1,206207,1,60000000,76200,300000
297,1531,0,일반종신,200307,2020,20,1,B,999912,1,60000000,78200,200000
298,11749,0,변액종신,200307,25270,10,1,2,999912,1,40000000,77040,200000
299,1531,0,일반종신,200307,2020,20,1,B,999912,1,60000000,76180,200000
300,4919,0,변액종신,200307,21487,15,1,B,999912,1,100000000,85000,200000
301,18107,0,어린이,200307,6066,14,1,B,202607,1,45000000,23700,300000
302,21280,0,일반연금,200307,26030,5,1,B,999912,1,6000000,100100,0
303,20932,0,어린이,200307,4720,5,1,B,201407,1,30000000,65000,200000
304,2934,0,보장,200307,31050,10,1,B,206807,1,30000000,59800,300000
305,18364,1,일반저축,200307,5100,5,1,B,201007,1,21000000,350000,300000
306,3906,1,일반종신,200307,4853,20,1,1,999912,1,70000000,153600,5000000
307,20290,1,일반연금,200307,3343,5,1,B,999912,1,6000000,107557,200000
308,21414,2,일반종신,200307,26122,10,1,2,999912,1,100000000,142100,250000
309,6103,1,일반저축,200307,29039,5,1,B,201007,1,6000000,102500,80000
310,17994,0,변액종신,200307,27812,15,1,B,999912,1,70000000,76500,200000
311,2932,0,변액종신,200307,22042,10,1,I,999912,1,100000000,237600,200000
312,13645,0,보장,200307,2661,15,1,B,205707,1,30000000,64000,110000
313,2368,1,일반연금,200307,25317,5,1,I,999912,1,15000000,260610,150000
314,15042,2,어린이,200307,24217,10,1,2,202007,0,30000000,2216400,200000
315,5008,0,일반저축,200307,724,5,1,B,206707,1,66000000,1101100,700000
316,9396,1,보장,200307,2782,5,1,B,202807,1,30000000,73000,400000
317,14280,1,일반종신,200307,26600,15,1,B,999912,1,50000000,121750,100000
318,19516,1,변액종신,200307,412,15,1,1,999912,1,100000000,134100,150000
319,17976,1,일반연금,200307,22253,5,1,E,201507,1,61200000,1021020,200000
320,21359,1,변액종신,200307,21489,5,1,B,999912,1,50000000,82000,200000
321,11577,1,보장,200307,27226,10,1,J,202607,1,15000000,33350,250000
322,16919,2,일반종신,200307,24005,15,1,B,999912,1,50000000,103350,300000
323,2250,1,일반연금,200307,25070,5,1,B,999912,1,67800000,1131130,400000
324,4659,1,변액종신,200307,24878,15,1,I,999912,1,50000000,138300,200000
325,1662,2,어린이,200307,4533,10,1,B,201507,1,60000000,82800,200000
326,11336,3,변액종신,200307,5846,20,1,B,999912,1,60000000,175260,500000
327,3006,0,어린이,200307,28522,0,1,B,201607,0,16142000,1199996,400000
328,16910,2,변액종신,200307,27487,20,1,B,999912,1,50000000,79750,150000
329,13737,0,보장,200307,22588,5,1,B,202307,1,12500000,22450,200000
330,15945,1,보장,200307,3204,15,1,B,203207,1,9000000,52050,0
331,9054,1,보장,200307,28596,10,1,B,203807,1,30000000,85400,300000
332,4893,2,보장,200307,20867,10,1,2,201907,1,30000000,51300,150000
333,19180,2,일반종신,200307,5470,20,1,B,999912,1,100000000,112500,500000
334,3907,2,일반종신,200307,26899,15,1,1,999912,1,100000000,138400,100000
335,19263,2,어린이,200307,5622,5,4,B,201107,1,20000000,57800,0
336,20563,1,일반종신,200307,6026,15,1,B,999912,1,70000000,251480,0
337,7083,0,일반종신,200307,22071,10,1,2,999912,1,100000000,165800,200000
338,10357,2,어린이,200307,5938,10,1,2,202407,1,30000000,19900,200000
339,19568,2,어린이,200307,6115,10,3,2,202107,1,20000000,17600,0
340,5050,1,암,200307,3605,15,4,3,203907,1,16000000,35120,0
341,7751,3,일반종신,200307,6212,15,1,1,999912,1,100000000,256700,0
342,19567,2,변액종신,200307,2041,20,1,E,999912,1,50000000,77200,300000
343,10524,2,어린이,200307,23763,7,1,2,201907,1,30000000,38600,200000
344,11252,1,변액연금,200307,21756,5,1,B,999912,1,18000000,300300,0
345,20769,0,어린이,200307,21010,10,1,B,201807,1,30000000,34400,200000
346,7733,1,일반종신,200307,27721,20,1,B,999912,1,50000000,90250,140000
347,5689,2,변액종신,200307,24318,20,1,B,999912,1,100000000,123700,170000
348,11744,0,어린이,200307,4374,7,1,B,201307,1,45000000,123050,200000
349,21692,0,일반종신,200307,25277,20,1,1,999912,1,40000000,128780,300000
350,9061,0,일반종신,200307,5970,20,1,B,999912,1,45000000,159310,300000
351,7814,1,일반종신,200307,2557,20,1,B,999912,1,100000000,135400,200000
352,20545,1,일반종신,200307,23771,20,1,1,999912,1,45000000,195190,200000
353,5249,1,일반종신,200307,5831,20,1,J,999912,1,40000000,79980,300000
354,3105,2,일반종신,200307,642,20,1,B,999912,0,43346724,15247172,300000
355,9173,1,일반종신,200307,2340,10,1,2,999912,1,33000000,150500,100000
356,4844,1,보장,200307,2679,5,1,A,201307,1,12500000,32325,300000
357,1048,0,어린이,200307,24614,10,1,B,202707,1,39000000,29250,250000
