CUST_ID,SIU_CUST_YN,SEX,AGE,RESI_COST,RESI_TYPE_CODE,FP_CAREER,CUST_RGST,CTPR,OCCP_GRP_1,OCCP_GRP_2,WEDD_YN,CHLD_CNT
102,N,2,62,8750,20,Y,199604,서울,8.기타,기타,Y,0.0
103,N,2,62,32222,20,Y,198406,경북,5.서비스,2차산업 종사자,N,0.0
104,N,2,62,7778,12,Y,198904,인천,6.제조업,2차산업 종사자,Y,1.0
105,N,2,61,17222,20,Y,199306,인천,1.주부,주부,Y,1.0
107,Y,2,61,23617,11,Y,198410,경기,1.주부,주부,N,0.0
108,N,2,60,0,99,N,199910,충남,4.전문직,교사,N,0.0
109,N,2,60,88333,20,Y,198906,인천,1.주부,주부,Y,1.0
110,N,2,60,7683,11,Y,198606,경북,1.주부,주부,Y,1.0
111,N,2,59,6441,40,Y,199107,경북,2.자영업,자영업,Y,2.0
112,N,2,59,11944,30,N,200202,경기,1.주부,주부,Y,1.0
113,N,2,59,2263,99,Y,200202,전남,1.주부,주부,Y,2.0
114,N,2,58,10177,11,Y,198911,광주,4.전문직,3차산업 종사자,Y,0.0
115,N,2,58,4816,12,Y,198302,제주,1.주부,주부,Y,2.0
117,N,2,57,16111,20,Y,199409,경기,4.전문직,사무직,Y,2.0
118,N,2,57,8832,12,Y,200007,경기,5.서비스,3차산업 종사자,Y,2.0
119,N,2,57,6944,30,Y,200010,경기,4.전문직,전문직,N,0.0
120,N,2,57,6805,20,Y,199108,전남,1.주부,주부,Y,2.0
121,N,2,56,10277,30,Y,199011,서울,2.자영업,자영업,Y,1.0
122,N,2,56,8968,40,Y,199602,경기,5.서비스,3차산업 종사자,Y,2.0
124,N,2,56,23888,20,Y,200007,부산,1.주부,주부,Y,2.0
126,Y,2,55,15416,20,Y,199106,경남,5.서비스,3차산업 종사자,Y,2.0
127,N,2,55,4544,13,Y,198708,대구,1.주부,주부,Y,2.0
128,N,2,55,4027,30,Y,200206,경기,2.자영업,자영업,Y,2.0
129,N,2,55,28586,12,Y,200204,경기,8.기타,3차산업 종사자,Y,2.0
131,N,2,54,5972,30,Y,199306,제주,7.1차산업,1차산업 종사자,Y,3.0
132,N,2,54,28888,20,Y,199202,경기,5.서비스,3차산업 종사자,Y,1.0
133,N,2,53,7500,30,Y,200005,경기,1.주부,주부,Y,0.0
134,N,2,51,11615,40,Y,199205,대구,5.서비스,2차산업 종사자,Y,1.0
135,N,2,51,8874,12,Y,199610,경기,4.전문직,의료직 종사자,Y,2.0
136,N,2,51,11527,20,Y,199606,강원,4.전문직,의료직 종사자,Y,2.0
138,N,2,50,28055,20,Y,200202,서울,2.자영업,3차산업 종사자,Y,2.0
140,N,2,48,11111,30,Y,199207,경기,2.자영업,자영업,Y,2.0
141,N,2,48,6527,30,Y,199608,부산,5.서비스,3차산업 종사자,Y,2.0
142,Y,2,48,13333,20,Y,199411,경기,1.주부,주부,Y,2.0
143,N,2,48,10833,30,Y,199504,서울,2.자영업,3차산업 종사자,Y,2.0
144,N,2,48,29305,20,Y,199902,경기,3.사무직,사무직,Y,2.0
145,Y,2,48,16856,40,Y,199509,서울,2.자영업,자영업,Y,3.0
146,N,2,46,11111,20,Y,200202,전북,1.주부,주부,Y,2.0
147,N,2,46,10920,99,Y,200012,경기,2.자영업,3차산업 종사자,Y,1.0
148,N,2,45,2880,13,Y,199505,경기,5.서비스,3차산업 종사자,Y,2.0
149,N,2,43,13141,20,Y,199603,울산,1.주부,주부,N,0.0
151,N,2,43,14305,30,Y,199909,서울,1.주부,주부,Y,1.0
152,N,2,41,53888,20,N,200003,경기,3.사무직,사무직,N,0.0
153,N,2,40,0,99,Y,199612,전남,1.주부,주부,Y,1.0
154,N,2,40,14027,20,Y,199810,강원,1.주부,주부,Y,0.0
155,N,2,43,14166,30,Y,200211,경기,2.자영업,3차산업 종사자,Y,1.0
156,N,1,46,7638,20,N,200212,전북,5.서비스,2차산업 종사자,N,0.0
157,N,1,54,8208,99,N,200212,대구,4.전문직,공무원,Y,2.0
158,N,2,47,15277,20,N,200212,대구,2.자영업,자영업,Y,2.0
159,N,2,52,7603,11,N,200301,경기,5.서비스,3차산업 종사자,Y,2.0
160,N,2,46,4027,30,N,200302,부산,1.주부,주부,N,0.0
162,Y,2,62,7623,12,N,200302,서울,1.주부,주부,Y,0.0
163,N,1,48,12916,20,N,200303,부산,6.제조업,운전직,Y,2.0
164,N,2,47,2476,11,N,200304,경남,1.주부,주부,Y,2.0
165,N,2,66,6666,30,N,200304,부산,5.서비스,의료직 종사자,Y,0.0
166,N,2,54,19861,20,N,200305,충북,4.전문직,교사,Y,2.0
167,N,1,66,18308,40,N,200305,서울,2.자영업,자영업,Y,2.0
168,N,2,52,4609,12,N,200305,충북,1.주부,주부,N,0.0
169,N,1,69,19444,20,N,200305,광주,7.1차산업,1차산업 종사자,Y,1.0
206,N,1,85,11818,40,N,200306,전북,2.자영업,자영업,Y,0.0
207,N,2,83,9055,99,N,200306,경북,2.자영업,자영업,N,0.0
208,N,2,82,1966,13,N,200306,전북,1.주부,주부,N,0.0
210,N,2,81,18098,11,N,200303,경북,8.기타,기타,N,0.0
213,N,2,79,15000,30,N,200306,경기,8.기타,기타,Y,0.0
216,N,2,77,11776,99,N,200306,부산,1.주부,주부,N,0.0
218,N,2,77,3711,12,N,200306,인천,8.기타,기타,N,0.0
219,N,1,76,4077,40,N,200306,충북,8.기타,기타,Y,0.0
220,N,2,76,2451,13,N,200306,경남,8.기타,기타,N,0.0
221,N,2,76,10833,20,N,200306,경남,1.주부,주부,N,0.0
222,N,2,76,31666,20,N,200306,경기,1.주부,주부,N,0.0
224,N,2,76,19777,11,N,200306,경기,7.1차산업,1차산업 종사자,Y,0.0
227,N,1,75,22777,20,N,200306,인천,8.기타,기타,N,0.0
228,N,2,75,12083,20,N,200306,경기,8.기타,기타,N,0.0
229,N,1,75,0,99,N,200306,서울,6.제조업,운전직,Y,0.0
231,N,1,75,17777,20,N,200306,경기,5.서비스,2차산업 종사자,N,0.0
234,N,1,75,5237,11,N,200306,전북,7.1차산업,1차산업 종사자,Y,0.0
235,N,2,75,19958,30,N,200306,서울,2.자영업,자영업,Y,0.0
236,N,1,75,9027,30,N,200306,경기,2.자영업,자영업,N,0.0
237,N,2,75,4225,13,N,200306,서울,8.기타,기타,Y,0.0
242,N,2,74,4179,13,N,200306,경기,8.기타,기타,N,0.0
244,N,2,74,29027,20,N,200306,경기,1.주부,주부,N,0.0
245,N,2,74,9041,11,N,200306,전북,1.주부,주부,Y,0.0
246,N,2,74,3775,99,N,200306,강원,1.주부,주부,Y,0.0
247,N,2,73,1884,11,N,200306,경북,8.기타,1차산업 종사자,Y,0.0
248,N,2,73,801,11,N,200306,전남,8.기타,기타,N,0.0
249,N,2,73,8407,11,N,200306,부산,1.주부,주부,Y,0.0
250,N,2,73,46685,20,N,200306,서울,8.기타,기타,Y,0.0
251,N,1,72,13611,20,N,200306,경북,6.제조업,운전직,Y,0.0
253,N,1,72,6944,20,N,200306,전남,7.1차산업,1차산업 종사자,Y,0.0
254,N,2,72,8264,11,N,200306,전북,1.주부,주부,N,0.0
255,N,1,71,22465,11,N,200306,경기,7.1차산업,1차산업 종사자,Y,0.0
256,N,2,71,1772,12,N,200306,충남,1.주부,주부,Y,0.0
257,Y,2,71,2220,12,N,200306,부산,8.기타,기타,N,0.0
258,N,2,71,7109,11,N,200306,전북,1.주부,주부,Y,0.0
259,N,1,71,18317,30,N,200306,서울,8.기타,기타,Y,0.0
260,N,2,71,50000,12,N,200306,경기,1.주부,주부,N,0.0
263,N,2,71,1721,11,N,200306,전남,1.주부,주부,N,0.0
265,N,2,71,10746,40,N,200306,대구,2.자영업,자영업,N,0.0
266,N,2,71,6084,11,N,200306,전북,1.주부,주부,Y,0.0
268,Y,2,70,21666,20,N,200306,경기,2.자영업,자영업,N,0.0
270,N,1,70,35921,11,N,200306,울산,8.기타,기타,Y,1.0
272,N,2,70,8778,11,N,200306,경남,8.기타,기타,Y,0.0
275,N,2,69,15138,30,N,200306,서울,1.주부,주부,N,0.0
276,N,2,69,16984,20,N,200306,대전,1.주부,주부,Y,0.0
277,N,2,69,9967,30,N,200306,대구,1.주부,주부,N,0.0
278,N,2,69,0,99,N,200306,전남,8.기타,기타,Y,1.0
279,N,2,69,55555,20,N,200306,서울,8.기타,기타,Y,0.0
280,N,1,69,6821,99,N,200306,대전,5.서비스,2차산업 종사자,Y,0.0
282,Y,2,69,21388,20,N,200306,경남,1.주부,주부,N,0.0
283,N,2,69,25138,20,N,200306,서울,1.주부,주부,N,0.0
284,N,1,69,4861,30,N,200306,인천,6.제조업,운전직,Y,0.0
286,N,2,68,28134,11,N,200306,부산,1.주부,주부,N,0.0
288,N,2,68,18333,20,N,200306,강원,1.주부,주부,Y,0.0
291,N,2,68,6167,99,N,200306,충남,8.기타,기타,Y,1.0
292,N,1,68,0,99,N,200306,경남,2.자영업,자영업,N,0.0
293,N,2,68,15555,20,N,200306,경기,1.주부,주부,N,0.0
294,N,1,68,14444,30,N,200306,부산,6.제조업,3차산업 종사자,Y,0.0
295,N,1,68,17083,20,N,200306,인천,8.기타,단순 노무직,Y,0.0
296,Y,2,68,4007,12,N,200306,경남,1.주부,주부,Y,0.0
298,N,1,67,2398,11,N,200306,경남,7.1차산업,1차산업 종사자,Y,0.0
300,N,1,67,32222,20,N,200306,경기,5.서비스,2차산업 종사자,N,0.0
302,N,1,67,0,99,N,200306,전북,3.사무직,3차산업 종사자,Y,0.0
303,N,1,67,6671,13,N,200306,대전,2.자영업,자영업,Y,1.0
304,N,2,67,2186,13,N,200306,경남,2.자영업,자영업,N,0.0
305,N,2,67,13410,13,N,200306,서울,5.서비스,2차산업 종사자,N,0.0
306,N,2,67,81527,20,N,200306,서울,3.사무직,사무직,Y,0.0
308,N,2,67,9583,30,N,200306,경북,1.주부,주부,N,0.0
310,N,2,67,6929,40,N,200306,경남,1.주부,주부,Y,0.0
311,N,1,66,21936,40,N,200306,울산,4.전문직,전문직,Y,1.0
312,N,2,66,20000,20,N,200306,경기,1.주부,주부,N,0.0
313,N,1,66,0,11,N,200306,전남,7.1차산업,1차산업 종사자,Y,1.0
314,N,1,66,3669,11,N,200306,전북,8.기타,단순 노무직,N,0.0
317,N,2,66,15000,20,N,200306,대전,1.주부,주부,Y,0.0
319,N,2,66,4027,20,N,200306,부산,1.주부,주부,N,0.0
320,Y,2,66,16805,20,N,200306,광주,2.자영업,자영업,Y,0.0
322,N,2,66,1958,11,N,200306,충남,1.주부,주부,N,0.0
324,N,1,65,3174,40,N,200306,전남,7.1차산업,1차산업 종사자,Y,1.0
325,N,2,65,9166,20,N,200306,경북,1.주부,주부,Y,0.0
326,Y,2,65,10694,20,N,200306,경남,1.주부,주부,Y,0.0
327,N,2,65,41805,20,N,200306,경기,1.주부,주부,Y,0.0
328,N,2,65,16388,20,N,200306,부산,1.주부,주부,N,0.0
329,N,2,65,20138,20,N,200306,충북,8.기타,기타,Y,0.0
330,N,2,65,12403,11,N,200306,부산,2.자영업,자영업,Y,0.0
331,N,2,65,15416,30,N,200306,서울,1.주부,주부,Y,0.0
332,N,2,65,4608,13,N,200303,경기,1.주부,주부,N,0.0
333,N,2,65,12200,40,N,200306,울산,5.서비스,3차산업 종사자,N,0.0
334,N,2,65,12361,30,N,200306,서울,1.주부,주부,Y,0.0
335,N,2,65,10833,20,N,200306,광주,1.주부,주부,N,0.0
336,N,1,65,10157,11,N,200306,경남,5.서비스,2차산업 종사자,N,0.0
337,N,1,65,5643,13,N,200306,경기,1.주부,주부,Y,2.0
338,Y,2,65,14444,20,N,200306,인천,2.자영업,자영업,Y,0.0
339,N,2,65,11111,20,N,200306,부산,1.주부,주부,N,0.0
341,Y,2,65,11775,40,N,200306,인천,5.서비스,3차산업 종사자,N,0.0
342,N,2,65,33472,20,N,200306,서울,2.자영업,자영업,N,0.0
343,N,2,65,12638,20,N,200306,전북,4.전문직,교사,Y,0.0
345,N,2,65,2186,13,N,200306,경남,5.서비스,3차산업 종사자,Y,0.0
346,N,1,65,0,99,N,200306,강원,5.서비스,2차산업 종사자,N,0.0
347,N,1,65,19722,20,N,200306,부산,6.제조업,운전직,Y,0.0
348,N,2,65,8236,12,N,200306,서울,1.주부,주부,N,0.0
349,N,1,65,7361,20,N,200306,대전,8.기타,기타,Y,0.0
350,Y,1,65,48724,11,N,200306,경기,3.사무직,사무직,Y,2.0
351,N,2,65,0,99,N,200306,강원,1.주부,주부,Y,0.0
352,N,1,65,25000,20,N,200306,경기,5.서비스,3차산업 종사자,N,0.0
354,N,2,64,6277,40,N,200306,경북,2.자영업,자영업,Y,0.0
356,N,2,64,27777,20,N,200306,경남,1.주부,주부,Y,1.0
357,N,2,64,5871,11,N,200306,경남,1.주부,주부,Y,0.0
358,N,2,64,7916,20,N,200306,광주,2.자영업,자영업,Y,0.0
360,Y,1,64,8316,99,N,200306,인천,5.서비스,2차산업 종사자,Y,1.0
361,N,2,64,6748,99,N,200306,광주,6.제조업,2차산업 종사자,Y,0.0
362,N,1,64,21111,20,N,200306,서울,5.서비스,2차산업 종사자,Y,0.0
363,N,1,64,9773,12,N,200306,충북,3.사무직,사무직,Y,0.0
365,N,2,64,5555,20,N,200306,경북,1.주부,주부,Y,0.0
368,N,1,64,40737,20,N,200306,서울,3.사무직,사무직,Y,1.0
370,N,1,64,4444,20,N,200306,경기,6.제조업,운전직,Y,3.0
371,Y,2,64,5277,20,N,200306,전북,1.주부,주부,N,0.0
373,N,2,64,25555,20,N,200306,광주,8.기타,3차산업 종사자,Y,0.0
375,N,1,63,17222,20,N,200306,부산,2.자영업,자영업,Y,1.0
376,N,1,63,9506,13,N,200306,서울,6.제조업,운전직,Y,2.0
378,N,2,63,7361,30,N,200306,인천,1.주부,주부,N,0.0
379,Y,2,63,10555,30,N,200306,인천,1.주부,주부,N,0.0
382,N,2,63,2286,11,N,200306,경북,5.서비스,3차산업 종사자,N,0.0
384,N,1,63,25555,20,N,200306,전남,6.제조업,2차산업 종사자,Y,2.0
385,Y,2,63,0,99,N,200306,강원,1.주부,주부,N,0.0
386,N,2,63,55000,20,N,200306,경기,1.주부,주부,Y,1.0
388,N,2,63,10075,40,N,200306,경기,5.서비스,3차산업 종사자,Y,0.0
389,N,1,63,26111,20,N,200306,경기,6.제조업,운전직,N,0.0
390,N,2,63,20555,20,N,200306,경기,1.주부,주부,Y,1.0
391,N,1,63,0,99,N,200306,경북,5.서비스,2차산업 종사자,Y,1.0
392,N,2,63,8333,20,N,200306,광주,5.서비스,3차산업 종사자,Y,0.0
393,N,1,63,18611,20,N,200306,충북,3.사무직,단순 사무직,Y,0.0
394,N,1,63,30254,40,N,200306,서울,2.자영업,자영업,Y,2.0
398,N,2,62,0,99,N,200306,대구,1.주부,주부,Y,2.0
400,N,2,62,28888,20,N,200306,경기,5.서비스,3차산업 종사자,N,0.0
402,N,1,62,18190,11,N,200306,전북,3.사무직,사무직,Y,3.0
403,N,1,62,6409,40,N,200306,전북,2.자영업,자영업,Y,1.0
404,N,2,62,9642,12,N,200306,경기,1.주부,주부,Y,0.0
405,N,1,62,89166,20,N,200306,서울,2.자영업,자영업,Y,0.0
406,N,2,62,4052,99,N,200306,경기,7.1차산업,1차산업 종사자,N,0.0
407,N,1,62,15555,20,N,200306,강원,2.자영업,자영업,Y,1.0
408,N,2,62,14993,30,N,200306,경기,1.주부,주부,Y,0.0
411,Y,2,62,7729,11,N,200306,부산,1.주부,주부,Y,0.0
412,N,2,62,17222,20,N,200303,울산,1.주부,주부,Y,1.0
413,N,1,62,0,99,N,200306,서울,2.자영업,자영업,N,0.0
414,N,2,62,1286,11,N,200306,전남,5.서비스,3차산업 종사자,N,0.0
415,N,2,62,20000,20,N,200306,울산,1.주부,주부,Y,0.0
416,N,2,62,8194,30,N,200306,경기,1.주부,주부,Y,0.0
419,N,1,62,15138,20,N,200306,경기,3.사무직,교육관련직,Y,1.0
421,N,1,62,4704,11,N,200306,경남,7.1차산업,1차산업 종사자,Y,0.0
422,Y,2,62,38611,20,N,200306,서울,1.주부,주부,Y,1.0
423,N,1,62,5636,40,N,200306,전남,2.자영업,자영업,Y,1.0
424,N,1,62,4849,12,N,200306,경기,6.제조업,운전직,Y,1.0
426,Y,2,62,0,99,N,200306,강원,1.주부,주부,Y,1.0
428,N,2,62,14444,20,N,200306,광주,1.주부,주부,Y,0.0
429,N,1,62,31111,20,N,200306,서울,5.서비스,2차산업 종사자,Y,2.0
430,N,2,61,3573,11,N,200306,부산,1.주부,주부,Y,1.0
431,N,2,61,14305,30,N,200306,울산,5.서비스,3차산업 종사자,Y,1.0
434,N,2,61,8333,30,N,200306,부산,6.제조업,운전직,N,0.0
435,N,1,61,37083,20,N,200306,충북,4.전문직,교사,Y,0.0
438,N,2,61,8750,20,N,200303,인천,5.서비스,2차산업 종사자,Y,0.0
439,N,1,61,13194,30,N,200306,경기,4.전문직,교사,Y,0.0
441,N,2,61,64027,20,N,200306,서울,3.사무직,사무직,N,0.0
442,N,2,61,21944,20,N,200306,울산,1.주부,주부,N,0.0
443,N,2,61,37222,20,N,200306,서울,5.서비스,3차산업 종사자,Y,1.0
444,N,2,61,20988,11,N,200306,경남,1.주부,주부,Y,2.0
445,Y,2,61,17916,20,N,200306,부산,1.주부,주부,Y,1.0
447,N,2,61,15623,40,N,200306,서울,1.주부,주부,N,0.0
448,Y,1,61,9869,30,N,200303,서울,6.제조업,운전직,Y,0.0
450,N,2,61,55972,20,N,200306,서울,1.주부,주부,Y,1.0
452,Y,2,61,20277,20,N,200306,강원,1.주부,주부,Y,2.0
454,N,2,61,8452,11,N,200306,전북,1.주부,주부,Y,2.0
455,Y,2,61,10694,20,N,200306,서울,1.주부,주부,Y,2.0
456,Y,2,61,2351,11,N,200306,강원,1.주부,주부,Y,1.0
457,N,2,61,2988,40,N,200306,충북,5.서비스,3차산업 종사자,Y,1.0
458,N,1,60,12500,20,N,200306,강원,7.1차산업,1차산업 종사자,Y,2.0
459,N,2,60,6944,20,N,200306,전북,1.주부,주부,N,0.0
460,N,1,60,31666,20,N,200306,경남,3.사무직,사무직,Y,3.0
461,N,2,60,14305,30,N,200306,경기,1.주부,주부,Y,0.0
462,N,2,60,3041,13,N,200306,대전,2.자영업,자영업,Y,2.0
464,N,1,60,12869,11,N,200306,대구,2.자영업,자영업,Y,0.0
465,N,1,60,26666,20,N,200306,경남,2.자영업,자영업,Y,2.0
468,N,2,60,16135,13,N,200306,서울,1.주부,주부,Y,0.0
469,Y,1,60,15138,30,N,200306,서울,3.사무직,사무직,Y,0.0
470,N,1,60,6834,40,N,200306,경북,2.자영업,자영업,Y,1.0
471,N,1,60,11662,99,Y,200306,부산,3.사무직,사무직,Y,3.0
472,Y,2,60,18333,30,N,200306,서울,8.기타,단순 노무직,Y,2.0
473,Y,2,60,16944,20,N,200306,부산,1.주부,주부,N,0.0
474,N,1,60,19094,99,N,200306,서울,2.자영업,자영업,Y,2.0
475,N,2,60,8285,99,N,200306,경기,1.주부,주부,Y,0.0
476,N,2,60,25555,20,N,200306,경기,1.주부,주부,Y,0.0
478,N,1,60,5992,12,N,200306,대구,5.서비스,2차산업 종사자,N,0.0
480,N,1,60,14267,12,N,200306,서울,2.자영업,자영업,Y,1.0
481,N,1,60,10136,40,N,200306,전남,5.서비스,3차산업 종사자,Y,3.0
482,N,2,60,16302,11,N,200301,충북,2.자영업,자영업,Y,1.0
483,N,2,60,18888,20,N,200306,대구,8.기타,학생,Y,1.0
484,N,1,60,51250,20,N,200303,경기,3.사무직,사무직,Y,4.0
485,N,2,60,17361,20,N,200306,부산,5.서비스,자영업,Y,2.0
486,N,2,60,6344,20,N,200306,경남,1.주부,주부,Y,1.0
489,N,2,60,20699,11,N,200306,전북,1.주부,주부,Y,0.0
490,N,2,60,11573,12,N,200306,서울,8.기타,주부,Y,1.0
491,N,2,60,8827,40,N,200306,대구,2.자영업,자영업,Y,2.0
492,N,2,60,24722,20,N,200306,인천,1.주부,주부,Y,1.0
494,N,2,59,5883,40,N,200306,충남,5.서비스,3차산업 종사자,Y,3.0
495,N,2,59,0,99,N,200306,충남,5.서비스,2차산업 종사자,Y,0.0
497,N,2,59,43472,20,N,200306,서울,2.자영업,자영업,Y,3.0
498,N,1,59,27496,11,N,200306,충북,3.사무직,공무원,Y,0.0
499,N,1,59,16666,20,N,200306,경남,3.사무직,사무직,Y,2.0
502,N,2,59,27222,20,Y,200306,부산,1.주부,주부,Y,1.0
503,N,1,59,10694,20,N,200306,부산,3.사무직,기업/단체 임원,Y,3.0
